0.0000,0.4911,0.6837,0.8905
0.8000,1.0412,1.7156,0.3299
0.4000,0.9352,0.7797,0.2626
0.2000,1.0712,1.8060,0.4155
0.4000,1.2908,0.6452,0.8372
0.0000,1.2102,1.8548,0.0552
0.2000,1.3636,0.4743,0.9119
0.4000,1.4523,1.8554,0.0448
0.6000,0.6432,0.7513,0.9866
0.0000,1.2862,1.7238,0.0587
0.8000,1.2034,0.6739,0.4351
0.4000,1.3542,1.7085,0.6778
0.6000,1.1699,0.6580,0.0717
0.6000,1.2949,1.7848,0.4687
0.4000,0.8289,0.7530,0.7727
0.4000,0.9107,1.7603,0.9573
0.6000,0.9764,0.6800,0.7451
0.2000,1.0700,1.7563,0.3405
0.6000,1.2885,0.7845,0.7952
0.4000,1.0338,1.7450,0.8116
0.6000,1.4362,0.9007,0.0369
0.2000,1.3710,1.8238,0.9622
0.2000,1.5008,0.7967,0.9417
0.4000,1.1670,1.7651,0.7332
0.0000,1.1519,0.6762,0.6608
0.4000,1.2058,1.6335,0.7197
0.2000,0.8389,0.8032,0.2768
0.0000,0.9463,1.5381,0.5101
0.6000,0.9423,0.7873,0.4758
0.8000,0.7598,1.7222,0.5334
0.2000,1.0323,0.6581,0.8897
0.4000,0.7231,1.7340,0.6850
0.0000,1.0323,0.7935,0.1991
0.8000,1.0336,1.7059,0.2690
0.6000,1.1717,0.8778,0.8907
0.2000,1.0149,1.7802,0.6686
0.2000,0.8852,0.7764,0.0825
0.2000,1.2273,1.5857,0.0577
0.8000,1.0614,0.6442,0.1564
0.8000,0.8992,1.6117,0.1822
0.0000,0.6096,0.8765,0.9729
0.0000,1.0999,1.9094,0.0636
0.6000,0.4415,0.6372,0.0015
0.4000,1.6078,1.7874,0.1927
0.6000,1.0957,0.7186,0.4521
0.6000,1.1615,1.7325,0.2387
0.4000,0.7200,0.8131,0.2306
0.0000,0.7087,1.6895,0.7790
0.8000,1.3248,0.6938,0.2396
0.8000,0.9837,1.5424,0.2759
